# 2023-10-10 1560 SPDC measurment 
# Temperature scan betwen 36 and 38.5 °C 
# Swapped the oven to one from IJS 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel. 
# A narrowband filter is implemented in C21 (1560.61 nm) bandwidth of 100 GHz# Each single-photon detector is connected to the coincidence stage# A SPD is connected to one branch of the coincidence stage, while the other SPD is connected directly to the V photon branch on the temp scan
# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: 'H' (Ch1, C21R)(uW)  = 82.1 mW)# periodic polling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 0.3 and 0.27 kHz 
# single photon detector QE: 10% 
# single photon detector dead time: 20 us 
# Time-delay of 86.2 ns# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
37.96    575410    2403991    3677
37.97    572662    2403125    3713
37.98    564888    2403479    3824
37.99    560218    2404029    3678
38.0    557916    2404047    3541
38.01    553073    2403909    3598
38.02    552071    2404145    3586
38.03    543567    2403648    3572
38.04    541191    2402937    3400
38.05    533176    2403517    3477
38.06    530799    2403798    3414
38.07    527553    2403221    3290
38.08    519138    2403765    3416
38.09    516436    2403146    3238
38.1    508061    2403839    3150
38.11    505032    2404006    3149
38.12    497546    2404180    3075
38.13    495779    2404201    3063
38.14    494605    2404237    3147
38.15    487145    2404010    2975
38.16    482827    2403576    3062
38.17    476757    2403391    2847
38.18    473844    2403369    2954
38.19    467771    2403804    2804
38.2    463665    2404064    2816
38.21    461243    2403250    2796
38.22    450871    2403620    2774
38.23    448887    2403203    2649
38.24    441485    2403564    2625
38.25    437610    2403595    2581
38.26    426589    2404393    2576
38.27    425007    2403892    2430
38.28    422211    2403921    2513
38.29    416702    2404540    2489
38.3    414962    2404075    2339
38.31    407149    2403899    2280
38.32    404751    2403796    2382
38.33    395806    2403445    2271
38.34    393374    2404142    2211
38.35    390548    2404383    2210
38.36    382486    2404462    2191
38.37    380700    2403602    2081
38.38    372028    2404220    2001
38.39    367825    2403858    2052
38.4    362402    2404202    1917
38.41    358995    2404274    1935
38.42    356506    2404500    1858
38.43    348158    2404761    1944
38.44    345764    2404649    1828
38.45    339011    2404830    1763
38.46    336896    2404644    1788
38.47    331301    2404629    1697
38.48    328215    2404289    1710
38.49    325620    2404497    1622
38.5    318210    2404305    1618
