# 2023-09-27 1560 SPDC measurment 
# Temperature scan betwen 24 and 80 C 
# Swapped the oven to one from IJS 
# This measurement DOES inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) bandwidth of 100 GHz# Each single-photon detector is connected to the coincidence stage# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: 'H' (Ch1, C21R)(uW)  = 82.1 mW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 0.3 and 0.27 kHz 
# single photon detector QE: 10% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
47.4    31254    23505    1
47.5    31078    23793    3
47.6    30968    23545    0
47.7    30827    23509    4
47.8    30770    23807    1
47.9    30692    23516    1
48.0    30665    23993    6
48.1    30669    23308    3
48.2    30919    23351    3
48.3    30812    23613    3
48.4    30709    23528    5
48.5    30728    23603    3
48.6    30563    23207    4
48.7    30706    23477    1
48.8    30744    23426    0
48.9    30702    23186    1
49.0    30597    22902    2
49.1    30768    22948    2
49.2    30431    23273    0
49.3    30126    23274    2
49.4    30745    23168    2
49.5    30828    23086    1
49.6    30064    22944    0
49.7    30511    22908    1
49.8    30342    22694    2
49.9    30432    22784    2
50.0    30443    22928    0
50.1    30367    22789    1
50.2    30485    22688    0
50.3    30073    23005    0
50.4    30408    22811    2
50.5    30179    22797    1
50.6    30200    23072    3
50.7    30128    22787    0
50.8    30174    22536    0
50.9    30138    22818    0
51.0    30234    22914    2
51.1    30067    23042    0
51.2    30153    22699    2
51.3    30236    22464    0
51.4    30106    22317    3
51.5    30199    22748    1
51.6    29926    22568    3
51.7    29969    22578    0
51.8    29838    22273    0
51.9    30450    22407    1
52.0    29916    22186    0
52.1    29982    21987    0
52.2    30149    22246    2
52.3    29938    22511    1
52.4    29614    22342    0
52.5    30278    22276    1
52.6    29871    22119    0
52.7    29805    22290    1
52.8    29729    22176    0
52.9    30005    22234    3
53.0    29534    22023    1
53.1    29995    22160    2
53.2    29823    22464    3
53.3    29951    22323    1
53.4    29689    22030    2
53.5    29909    22140    1
53.6    29939    22167    2
53.7    30061    21827    0
53.8    30158    22053    0
53.9    29797    22477    2
54.0    29840    22134    0
54.1    29581    22536    0
54.2    29604    22154    0
54.3    30060    22181    0
54.4    29900    22172    3
54.5    29937    22223    0
54.6    30077    21801    0
54.7    29960    22412    0
54.8    29788    22252    1
54.9    29676    22207    0
55.0    29703    22100    0
55.1    29264    22067    0
55.2    29743    22102    1
55.3    30034    22018    1
55.4    29898    22086    2
55.5    30063    22387    2
55.6    29870    22030    1
55.7    29869    21995    1
55.8    29688    21969    1
55.9    29521    22389    0
56.0    29641    22047    0
56.1    29732    22067    2
56.2    29753    22156    1
56.3    29813    21922    0
56.4    29517    21752    1
56.5    29109    22044    2
56.6    29471    21801    1
56.7    29452    22404    0
56.8    29674    22298    1
56.9    29238    21742    1
57.0    29468    22192    2
57.1    29748    22022    0
57.2    29393    22275    0
57.3    29399    22021    0
57.4    29930    21752    0
57.5    29867    21946    0
57.6    29533    21740    0
57.7    29303    22163    0
57.8    29628    22126    0
57.9    29941    21880    0
58.0    29376    21889    2
58.1    29580    21858    0
58.2    29591    22080    1
58.3    29842    22054    0
58.4    30083    21796    3
58.5    29646    22371    0
58.6    29779    22141    0
58.7    29913    22036    2
58.8    29659    21983    1
58.9    29846    22280    0
59.0    29426    22095    1
59.1    29462    22049    0
59.2    29309    22032    0
59.3    29768    21793    0
59.4    29645    21799    1
59.5    29452    22181    0
59.6    29611    21633    0
59.7    29566    22039    0
59.8    29397    22080    0
59.9    29451    21807    1
60.0    29617    21742    1
60.1    29647    22218    0
60.2    29543    21987    0
60.3    29687    22090    1
60.4    29784    21947    0
60.5    29516    22016    2
60.6    29618    22114    0
60.7    29600    22158    0
60.8    29498    22055    0
60.9    29790    22111    0
61.0    29491    22042    1
