# 1560 SPDC measurement 
# Temperature scan between 80 and 80 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 2,91 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 2,91 mW)# Periodic polling: 19,25 um
# Initial setup alignment at 100.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
80.0    42170    43637    1
80.1    41867    44413    0
80.2    40873    44258    0
80.3    41721    43872    0
80.4    41510    44193    1
80.5    41188    44052    2
80.6    42209    44889    0
80.7    42086    44258    1
80.8    41964    44586    0
80.9    41230    44474    2
81.0    42007    44327    0
81.1    41163    44645    0
81.2    41759    44594    0
81.3    42214    45409    0
81.4    42034    44706    1
81.5    42407    44557    0
81.6    42458    45168    1
81.7    42753    45029    0
81.8    41807    45138    1
81.9    41761    45745    0
82.0    41969    45030    0
82.1    42311    44301    2
82.2    42585    45400    1
82.3    42881    44902    0
82.4    42334    45741    1
82.5    42315    45160    0
82.6    42464    45114    2
82.7    42620    45922    0
82.8    42835    45964    0
82.9    42258    45595    1
83.0    42058    45565    0
83.1    42271    45584    0
83.2    42037    45747    2
83.3    42730    45560    0
83.4    42356    45720    0
83.5    42833    45622    2
83.6    42812    45840    0
83.7    42561    45679    0
83.8    43213    45962    3
83.9    42870    45571    2
84.0    43031    46593    1
84.1    43174    46552    0
84.2    43497    46722    0
84.3    42540    46031    1
84.4    42801    45964    0
84.5    43618    46568    1
84.6    42573    46445    2
84.7    43371    46170    1
84.8    43481    46280    0
84.9    42900    46228    0
85.0    43194    46679    1
85.1    43803    45566    0
85.2    43834    46558    1
85.3    43412    46494    1
85.4    42978    46321    0
85.5    44110    46551    3
85.6    43060    45959    0
85.7    43068    46831    1
85.8    43547    46376    0
85.9    44096    46621    0
86.0    44062    46295    2
86.1    44038    46585    1
86.2    43772    46386    1
86.3    44012    46313    0
86.4    43315    46401    0
86.5    44496    46963    2
86.6    43700    47183    0
86.7    44110    46955    1
86.8    43523    47328    1
86.9    43217    46647    0
87.0    43849    46718    0
87.1    43549    47072    1
87.2    44193    47123    0
87.3    43937    47061    0
87.4    43827    47732    0
87.5    43801    46884    0
87.6    44723    46739    0
87.7    45615    47689    0
87.8    47228    48028    0
87.9    47382    48278    2
88.0    47197    48738    2
88.1    48065    48219    1
88.2    48126    47959    0
88.3    47725    48125    0
88.4    46941    48132    1
88.5    47110    48896    1
88.6    47189    48422    1
88.7    47348    48506    1
88.8    47514    49221    1
88.9    47958    48457    1
89.0    47702    48477    0
89.1    48028    48660    0
89.2    47638    48130    0
89.3    47837    47998    1
89.4    47605    48621    2
89.5    48621    48262    0
89.6    47809    49114    1
89.7    47200    48153    1
