# 1560 SPDC measurement 
# Temperature scan between 80 and 80 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 2,91 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 2,91 mW)# Periodic polling: 19,25 um
# Initial setup alignment at 100.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
89.8    47651    48604    0
89.9    48042    49261    1
90.0    47810    48480    0
90.1    48117    49713    0
90.2    47820    49022    3
90.3    47808    48907    0
90.4    47393    48775    0
90.5    47496    48871    1
90.6    48411    48954    1
90.7    48066    49352    1
90.8    48544    48698    2
90.9    47782    49919    0
91.0    48272    49887    1
91.1    48243    48551    0
91.2    48373    48891    0
91.3    48171    48730    1
91.4    48085    49578    0
91.5    47909    49140    0
91.6    47845    49307    1
91.7    47682    49450    1
91.8    47852    49327    0
91.9    48514    49224    0
92.0    48649    48968    2
92.1    48292    49787    0
92.2    48246    49556    1
92.3    48759    49436    2
92.4    47951    49325    1
92.5    47755    50060    0
92.6    47556    49258    1
92.7    47919    50102    0
92.8    47843    49790    2
92.9    48734    49859    0
93.0    49684    52783    2
93.1    49669    53305    0
93.2    49424    52877    2
93.3    49971    52907    2
93.4    50380    53415    1
93.5    50325    52993    2
93.6    49185    53564    0
93.7    49251    53094    1
93.8    49732    53303    0
93.9    48805    53343    0
94.0    49038    53189    0
94.1    50605    52882    1
94.2    50350    53014    1
94.3    50347    53674    3
94.4    49140    53072    1
94.5    50185    53562    2
94.6    49899    53595    0
94.7    50412    54184    3
94.8    50525    53713    0
94.9    51084    53518    0
95.0    49628    53540    1
95.1    50178    54073    2
95.2    50342    54032    0
95.3    49597    53797    1
95.4    49829    54758    0
95.5    50385    53514    1
95.6    50380    54309    1
95.7    50464    53241    2
95.8    50486    54267    0
95.9    49391    53685    0
96.0    50282    53948    0
96.1    49833    54187    0
96.2    50646    53482    0
96.3    50488    54308    3
96.4    49648    53797    4
96.5    50004    54188    0
96.6    49650    54249    3
96.7    50752    54717    0
96.8    50343    54361    1
96.9    51023    54575    1
97.0    50575    54895    1
97.1    50106    55072    0
97.2    50314    54531    0
97.3    51863    54401    0
97.4    51046    54128    1
97.5    50395    54815    2
97.6    51213    54341    2
97.7    50860    54499    0
97.8    51166    54604    1
97.9    51096    54913    2
98.0    51063    54812    0
98.1    51194    54745    0
98.2    50254    54988    0
98.3    51069    54579    0
98.4    51356    55256    0
98.5    51030    54941    0
98.6    51559    54781    0
98.7    51477    55072    0
98.8    51865    56172    1
98.9    51479    55592    0
99.0    51738    55381    2
99.1    51485    55829    0
99.2    51466    56010    1
99.3    52169    55246    1
99.4    51407    55834    0
99.5    51985    55205    1
99.6    51350    55564    1
99.7    51605    56119    0
99.8    51696    55327    0
99.9    52548    56181    0
100.0    51682    55945    3
100.1    51703    55928    1
100.2    52362    55926    1
100.3    49810    55553    2
100.4    48213    54849    0
100.5    48179    54456    1
100.6    47872    55004    2
100.7    48211    55404    2
100.8    47931    55476    0
100.9    46932    55581    0
101.0    48052    55109    3
101.1    48699    55181    2
101.2    48519    55709    1
101.3    48234    55435    1
101.4    48505    56354    2
101.5    48317    55588    1
101.6    48127    55306    2
101.7    48772    56445    1
101.8    48646    55970    1
101.9    48572    55856    0
102.0    48552    55939    2
102.1    48175    55799    0
102.2    48133    55793    2
102.3    48684    56539    2
102.4    49112    56063    0
102.5    48936    56591    3
102.6    48889    55635    0
102.7    48880    56408    2
102.8    48531    57205    0
102.9    49725    56512    2
103.0    49383    56595    3
103.1    48548    56300    0
103.2    49003    57080    0
103.3    48681    56405    2
103.4    49178    56949    0
103.5    49283    56475    1
103.6    49072    55939    0
103.7    49829    56759    0
103.8    49007    57121    0
103.9    47964    57045    0
104.0    48842    57318    1
104.1    49136    56935    1
104.2    49121    56711    0
104.3    49457    57359    1
104.4    49992    57050    0
104.5    49457    57033    2
104.6    48692    56539    1
104.7    49010    57086    0
104.8    49189    56426    0
104.9    48742    57544    0
105.0    49428    57327    1
105.1    49121    57375    2
105.2    49439    56978    2
105.3    49864    57672    2
105.4    48396    57763    1
105.5    49793    57310    2
105.6    48742    58398    1
105.7    49795    58058    0
105.8    49723    58075    1
105.9    48531    58326    1
106.0    49996    58443    1
106.1    49548    58407    2
106.2    49318    58304    0
106.3    49701    58078    0
106.4    49698    58501    2
106.5    50292    58211    0
106.6    49903    59109    0
106.7    49597    59192    2
106.8    49679    58590    1
106.9    49388    59381    3
107.0    50339    58883    0
107.1    50528    59299    0
107.2    50426    58828    1
107.3    49518    58428    1
107.4    49920    58447    0
107.5    50115    58852    1
107.6    50327    60118    3
107.7    50781    59161    1
107.8    51022    59411    2
107.9    50591    60048    1
108.0    50346    59269    0
108.1    50247    59516    1
108.2    50555    59271    1
108.3    50120    59746    1
108.4    50822    59653    1
108.5    50641    60044    1
108.6    50020    60049    2
108.7    51236    60021    1
108.8    51174    59848    1
108.9    50910    59328    1
109.0    50692    60366    1
109.1    51321    59929    1
109.2    50912    60286    1
109.3    49967    59659    1
109.4    51267    60327    0
109.5    50854    60649    5
109.6    50358    61023    0
109.7    50750    61103    2
109.8    50661    60900    2
109.9    51664    61259    1
110.0    51071    61222    1
110.1    50630    60529    1
110.2    51401    61725    1
110.3    50643    60774    2
110.4    50819    60152    2
110.5    51074    60523    1
110.6    51362    60564    2
110.7    51051    61800    1
110.8    50837    61083    0
110.9    51421    61820    1
111.0    50854    61100    1
111.1    51791    61199    1
111.2    52316    62133    1
111.3    51198    61887    0
111.4    50836    61774    1
111.5    51411    61186    1
111.6    50955    61886    1
111.7    52014    61696    1
111.8    51254    62294    1
111.9    50784    61888    0
112.0    51872    62684    0
112.1    52277    61889    1
112.2    51386    62655    1
112.3    51074    62213    1
112.4    51474    63119    2
112.5    52057    62446    0
112.6    52099    62522    1
112.7    51535    62422    1
112.8    52734    62638    2
112.9    52045    62710    1
113.0    52047    62252    2
113.1    51807    62547    0
113.2    51466    63077    0
113.3    51674    62753    0
113.4    52516    62505    2
113.5    52884    62606    2
113.6    52605    63652    0
113.7    52334    63193    0
113.8    52113    63593    2
113.9    51865    63295    0
114.0    52054    63525    1
114.1    52338    63090    2
114.2    51731    62995    1
114.3    52804    63547    2
114.4    51949    62956    2
114.5    51789    63126    2
114.6    51721    63054    0
114.7    52217    62805    1
114.8    53130    64334    3
114.9    53327    63608    1
115.0    53483    64293    2
115.1    52526    64501    1
115.2    53437    64553    1
115.3    53139    65152    2
115.4    51883    64177    3
115.5    52506    63697    4
115.6    52084    64484    2
115.7    52576    63836    1
115.8    53337    64401    1
115.9    53813    65141    0
116.0    53555    64856    1
116.1    53507    64792    1
116.2    53966    65042    0
116.3    53794    65032    1
116.4    53463    65295    1
116.5    53848    64853    1
116.6    53567    65201    0
116.7    53566    64878    1
116.8    53736    65271    3
116.9    53523    65275    0
117.0    53091    65142    1
117.1    53622    65824    1
117.2    53959    65929    3
117.3    53880    66560    1
117.4    53848    65616    2
117.5    53843    66242    2
117.6    54183    65623    0
117.7    54975    65858    4
117.8    54142    66313    0
117.9    53486    65267    2
118.0    53419    66489    2
118.1    54265    66441    0
118.2    54536    66097    2
118.3    53834    66051    1
118.4    54365    66825    1
118.5    54077    66320    0
118.6    54399    67353    1
118.7    54339    66675    2
118.8    54542    66698    1
118.9    54723    67559    2
119.0    54930    67346    2
119.1    53716    66302    2
119.2    54447    67238    0
119.3    54924    67018    2
119.4    54638    67296    2
119.5    54664    66679    4
119.6    54409    67363    4
119.7    54380    67635    2
119.8    55093    66811    1
119.9    54638    68354    1
120.0    54753    67630    1
120.1    54608    67249    2
120.2    55225    68460    1
120.3    55650    68152    0
120.4    54764    67837    1
120.5    55035    68699    2
120.6    55405    68455    1
120.7    55092    68500    0
120.8    55341    69141    3
120.9    55063    68239    2
121.0    55049    68738    1
121.1    55730    68528    2
121.2    55856    69216    1
121.3    56489    70051    1
121.4    54997    69213    0
121.5    54939    69046    3
121.6    55269    69753    0
121.7    56047    70346    0
121.8    54698    69172    1
121.9    54726    69334    1
122.0    55681    70005    1
122.1    55922    69888    0
122.2    56521    70012    2
122.3    55450    69569    1
122.4    56095    69261    3
122.5    57128    70270    0
122.6    56209    70562    2
122.7    56520    70120    2
122.8    56290    70070    1
122.9    55745    70673    2
123.0    55993    70463    3
123.1    56120    69979    2
123.2    56367    70171    1
123.3    56509    69857    1
123.4    56461    70683    1
123.5    56504    70525    1
123.6    56396    70507    1
123.7    55932    71027    0
123.8    56585    70555    1
123.9    55850    70823    1
124.0    56805    70865    1
124.1    55830    70897    1
124.2    56601    70522    1
124.3    56909    72693    1
124.4    56312    71097    1
124.5    57908    71737    1
124.6    57111    71961    2
124.7    58035    72203    0
124.8    57634    71889    0
124.9    57129    71499    0
125.0    56999    71629    1
125.1    56732    72743    1
125.2    56021    71488    1
125.3    56522    72799    2
125.4    56493    71994    2
125.5    58012    72355    0
125.6    56770    71801    0
125.7    57358    72223    0
125.8    58272    72480    2
125.9    57357    73473    1
126.0    57283    72896    1
126.1    57327    73309    0
126.2    57904    72918    2
126.3    57193    73377    2
126.4    58243    73990    1
126.5    57715    73100    3
126.6    57269    73653    1
126.7    57439    72996    0
126.8    57726    72496    2
126.9    57745    74034    2
127.0    57744    72766    0
127.1    57050    73560    2
127.2    57540    74017    0
127.3    57942    74240    1
127.4    58182    74293    1
127.5    57730    74474    2
127.6    58515    73893    3
127.7    58258    74864    0
127.8    58224    74461    1
127.9    58146    74268    1
128.0    58955    74325    0
128.1    58072    74926    1
128.2    59224    74849    2
128.3    58602    74646    1
128.4    58695    74983    0
128.5    58133    75322    2
128.6    58532    76138    1
128.7    59112    75271    2
128.8    58665    76301    0
128.9    58996    75586    1
129.0    59611    74910    0
129.1    58616    75848    2
129.2    60152    76144    3
129.3    59603    75971    0
129.4    59011    76096    2
129.5    59428    76181    1
129.6    59499    76495    0
129.7    59722    76639    1
129.8    59194    76422    1
129.9    60133    76028    3
130.0    59120    77203    1
130.1    59492    75759    3
130.2    60737    76992    1
130.3    59746    76955    3
130.4    59795    75925    0
130.5    60367    77180    0
130.6    59303    77179    0
130.7    59630    77103    2
130.8    59352    77268    3
130.9    60513    77355    1
131.0    59486    77393    1
131.1    60078    78303    1
131.2    59740    78088    2
131.3    60552    77964    3
131.4    59452    78013    0
131.5    59242    78422    4
131.6    59539    78141    2
131.7    60726    78246    4
131.8    60265    77114    0
131.9    60758    77976    3
132.0    61025    78251    1
132.1    60286    77570    0
132.2    60532    78265    2
132.3    60156    79126    1
132.4    60683    78008    2
132.5    61113    79083    0
132.6    60421    78298    1
132.7    60255    78202    4
132.8    60744    79038    0
132.9    60676    78613    1
133.0    61341    78534    1
133.1    60743    79388    2
133.2    61157    78999    1
133.3    61941    79377    2
133.4    61663    79234    1
133.5    61382    80791    0
133.6    61623    79063    2
133.7    62051    79068    1
133.8    61886    80349    2
133.9    60890    80164    3
134.0    61844    80082    1
134.1    61149    80869    0
134.2    61272    81246    1
134.3    61369    80328    6
134.4    61512    81099    2
134.5    61739    80402    1
134.6    61763    80738    2
134.7    61231    81028    1
134.8    62561    81633    2
134.9    62352    81258    1
135.0    61305    81070    1
135.1    62385    80666    3
135.2    63628    81294    4
135.3    63181    81427    2
135.4    62241    81850    3
135.5    62675    80198    0
135.6    61663    81069    3
135.7    62708    81841    1
135.8    62135    82656    3
135.9    62185    83245    3
136.0    62836    82635    2
136.1    62897    82500    2
136.2    62960    82222    3
136.3    63311    82525    5
136.4    62366    82213    0
136.5    62307    83099    3
136.6    62715    83059    2
136.7    64823    83756    1
136.8    64557    83532    3
136.9    63881    83606    2
137.0    63375    83699    1
137.1    62850    82617    1
137.2    62999    83686    5
137.3    64252    83062    2
137.4    63522    83222    4
137.5    63114    83723    1
137.6    64185    84962    2
137.7    64334    84000    3
137.8    63106    84873    2
137.9    64092    84293    1
138.0    64688    84000    5
138.1    64923    84819    3
138.2    65270    84941    1
138.3    65118    83830    2
138.4    65081    84740    5
138.5    65079    86756    2
138.6    65551    85834    4
138.7    65233    86919    2
138.8    66042    86644    1
138.9    66276    86896    4
139.0    66801    87354    1
139.1    66267    87812    0
139.2    66614    88362    1
139.3    66349    88745    0
139.4    67055    89604    2
139.5    66787    89784    3
139.6    68293    89869    3
139.7    67562    90744    3
139.8    68054    89938    1
139.9    70131    90712    3
140.0    69854    90665    2
140.1    70798    91890    1
140.2    71212    92811    2
140.3    71680    94749    2
140.4    72514    96055    2
140.5    72354    95078    3
140.6    73761    96932    0
140.7    75444    95459    3
140.8    74955    96529    2
140.9    76696    98137    2
141.0    76338    97351    5
141.1    78596    99399    2
141.2    80757    101415    2
141.3    80393    102856    5
141.4    83965    106445    1
141.5    85733    109399    0
141.6    88854    112072    4
141.7    91366    113269    8
141.8    92140    115005    7
141.9    97035    120088    3
142.0    100005    122405    9
142.1    104083    126017    3
142.2    106655    130591    4
142.3    111541    134436    12
142.4    114298    137491    8
142.5    120930    145686    6
142.6    132045    158170    2
142.7    137547    163329    4
142.8    149497    173604    5
142.9    153467    179459    17
143.0    169048    195414    14
143.1    186430    213182    17
143.2    201914    229626    20
143.3    209852    238233    19
143.4    235657    265060    15
143.5    240731    270741    33
143.6    268441    299150    27
143.7    294865    327862    37
143.8    305212    336149    46
143.9    334835    369815    73
144.0    344901    378018    61
144.1    377871    413615    46
144.2    401833    437894    69
144.3    417964    454666    66
144.4    452649    491924    86
144.5    481392    518234    91
144.6    476376    516367    103
144.7    519628    558865    101
144.8    549122    591627    127
144.9    565388    607399    114
145.0    604874    649996    170
145.1    627819    669640    179
145.2    638600    685651    182
145.3    649370    694321    209
145.4    670765    716350    248
145.5    681135    726591    250
145.6    683492    729503    251
145.7    675739    719040    257
145.8    675927    723305    237
145.9    661395    709727    282
146.0    653929    694576    269
146.1    622367    666292    255
146.2    588948    630481    260
146.3    576086    613553    215
146.4    526205    563580    226
146.5    509349    545442    203
146.6    453114    486371    184
146.7    406413    438780    145
146.8    385506    416857    149
146.9    329421    359147    117
147.0    309740    340435    105
147.1    262178    292031    60
147.2    221058    250260    56
147.3    208067    237265    56
147.4    175748    203174    24
147.5    154831    180243    21
147.6    142665    169771    14
147.7    130600    155959    6
147.8    125681    152984    9
147.9    119110    145933    7
148.0    117949    142636    8
148.1    116372    142872    9
148.2    116384    143166    7
148.3    116937    142976    13
148.4    118056    143417    18
148.5    116588    142941    18
148.6    117488    144592    20
148.7    114773    141590    14
148.8    114400    139763    18
148.9    110745    135734    20
149.0    103997    129955    8
149.1    101870    128248    15
149.2    96341    121372    6
149.3    94402    119631    10
149.4    89189    114633    6
149.5    85551    111335    3
149.6    85357    109661    1
149.7    85365    110112    3
149.8    83519    108914    3
149.9    83046    108278    4
150.0    82968    108496    2
