# Temperature   Clicks_1   Clicks_2   Correlations
# 28.01.2024 1560 SPDC measurement 
# Temperature scan between 30 and 30 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 65 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 82.1 mW)# Periodic polling: 9.12 um
# Initial setup alignment at 41.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
53.1    33167    20859    3
53.2    32301    20350    2
53.3    32168    20933    0
53.4    31943    20800    1
53.5    32532    21027    3
53.6    32288    20504    4
53.7    32425    20823    1
53.8    32470    20770    2
53.9    32403    20742    0
54.0    31940    20714    0
54.1    32452    21235    0
54.2    32150    20578    1
54.3    32162    20460    1
54.4    32317    20970    3
54.5    32882    20959    2
54.6    32185    20629    0
54.7    31719    20923    2
54.8    31939    20758    0
54.9    32037    20774    1
55.0    31912    20482    4
55.1    32318    20813    4
55.2    32132    20883    1
55.3    32146    20789    1
55.4    31685    20780    1
55.5    32125    20470    2
55.6    31447    20513    0
55.7    32309    20757    0
55.8    31724    20568    0
55.9    31615    20607    0
56.0    32029    20699    0
56.1    32242    20675    1
56.2    31835    20643    0
56.3    31480    19991    1
56.4    31941    19977    1
56.5    31589    20658    0
56.6    31610    20746    0
56.7    31121    20749    1
56.8    31704    20504    1
56.9    31381    20402    1
57.0    31188    20251    1
57.1    31587    20179    0
57.2    31883    20267    0
57.3    31662    20329    2
57.4    31563    20530    0
57.5    31001    20622    1
57.6    31594    20389    3
57.7    31849    20415    1
57.8    31817    20516    1
57.9    32212    20561    1
58.0    31553    21392    1
58.1    31752    20771    2
58.2    32110    20713    1
58.3    31717    20544    1
58.4    32040    20535    0
58.5    32153    20602    3
58.6    32385    20822    0
58.7    31808    20575    1
58.8    31800    20406    1
58.9    32374    20780    0
59.0    31809    20585    0
59.1    31605    20672    1
59.2    31699    20438    0
59.3    31717    20451    0
59.4    32281    20836    0
59.5    31492    20461    4
59.6    31910    20493    1
59.7    32104    20449    1
59.8    32090    20354    0
59.9    30986    20573    0
60.0    31819    20460    0
