# 1560 SPDC measurement 
# Temperature scan between 70 and 70 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 2,91 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 2,91 mW)# Periodic polling: 19,45 um
# Initial setup alignment at 100.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
93.9    813344    361295    97
94.0    835189    376242    104
94.1    856133    391500    123
94.2    892199    419211    124
94.3    900483    424069    130
94.4    983711    487242    164
94.5    1005772    502297    175
94.6    1099303    570119    196
94.7    1182951    633469    215
94.8    1259063    688077    290
94.9    1333469    742279    333
95.0    1363233    764576    334
95.1    1526581    885041    462
95.2    1575024    924229    518
95.3    1665781    996762    509
95.4    1729008    1045948    568
95.5    1791787    1093694    647
95.6    1871968    1157902    708
95.7    1959729    1225515    802
95.8    2068805    1320842    913
95.9    2181460    1410750    964
96.0    2307359    1508883    1141
96.1    2498129    1670054    1386
96.2    2610921    1766219    1539
96.3    2919458    2021919    2067
96.4    3019577    2107924    2116
96.5    3386150    2427302    2674
96.6    3778391    2777301    3363
96.7    4074464    3054052    4185
96.8    4346068    3311362    4976
96.9    4594308    3550881    5491
97.0    4659604    3620535    5538
97.1    4989807    3939611    6613
97.2    5221636    4174114    7301
97.3    5305283    4262707    7583
97.4    5509791    4468723    8174
97.5    5612607    4571986    8604
97.6    5743316    4705500    8929
97.7    5809847    4775644    9129
97.8    5845236    4810560    9457
97.9    5855037    4817105    9294
98.0    5908234    4865554    9693
98.1    5914818    4871368    9532
98.2    5785407    4734931    9238
98.3    5714391    4662210    8894
98.4    5517831    4462498    8210
98.5    5353782    4293340    7777
98.6    5171892    4104736    7048
98.7    4846181    3780720    6159
98.8    4709136    3646463    5795
98.9    4283194    3234382    4678
99.0    3877990    2854714    3619
99.1    3512329    2519332    2949
99.2    3300953    2336164    2624
99.3    2723555    1837595    1585
99.4    2241930    1442094    1087
99.5    1867442    1145521    724
99.6    1543114    892609    451
99.7    1367233    761018    311
99.8    1032825    516134    143
99.9    894136    421356    138
100.0    804386    356183    90
100.1    795878    349476    108
100.2    815177    365791    95
100.3    884522    414828    120
100.4    920181    440398    154
100.5    1012654    509094    185
100.6    1038798    526585    181
100.7    1108347    576814    225
100.8    1135087    599271    245
100.9    1139493    599867    232
101.0    1125761    586680    204
101.1    1098549    565792    228
101.2    1019057    508337    177
101.3    949092    457232    141
101.4    907633    429208    130
101.5    808014    357273    86
101.6    780028    337260    76
101.7    687674    274886    57
101.8    625487    231549    57
101.9    600233    210890    40
102.0    581460    200651    43
102.1    584205    200440    42
102.2    592157    207850    33
102.3    613246    221812    45
102.4    619013    226249    51
102.5    651735    249708    66
102.6    682830    269468    44
102.7    699837    281558    73
102.8    699634    283444    57
102.9    707319    285376    68
103.0    701108    283043    68
103.1    693718    277222    57
103.2    672284    262530    59
103.3    661505    256165    70
103.4    621408    225856    46
103.5    606570    215127    45
103.6    572259    193820    35
103.7    554647    177608    36
103.8    540671    169575    33
103.9    534687    165535    21
104.0    533735    166398    26
104.1    540062    169725    27
104.2    545122    173224    35
104.3    560349    184981    33
104.4    577236    194402    38
104.5    580313    199284    35
104.6    596034    209203    38
104.7    605178    214827    53
104.8    611195    215290    37
104.9    606690    216904    38
105.0    605310    214713    43
105.1    594619    209215    48
105.2    583288    199113    35
105.3    574664    193186    27
105.4    551358    178113    23
105.5    541399    170547    32
105.6    528855    162080    35
105.7    522755    158384    29
105.8    515976    153191    27
105.9    513359    152258    26
106.0    519820    155576    28
106.1    522396    160974    31
106.2    522001    160916    23
106.3    540563    169809    25
106.4    548531    175969    34
106.5    548180    177433    27
106.6    559509    186002    30
106.7    564139    188384    30
106.8    565949    188565    34
106.9    562048    186803    36
107.0    554436    181453    37
107.1    550768    179003    29
107.2    539015    170504    39
107.3    531680    163803    24
107.4    517374    156470    28
107.5    510911    150527    24
107.6    501836    146734    21
107.7    498898    142503    32
107.8    496780    141143    30
107.9    494111    141919    19
108.0    496871    141615    26
108.1    495992    142094    29
108.2    503773    145408    32
108.3    510810    150525    26
108.4    512346    151798    27
108.5    519921    157631    19
108.6    523314    160668    27
108.7    524633    160271    24
108.8    524442    159510    37
108.9    521994    158715    35
109.0    516033    155184    27
109.1    511281    150719    24
109.2    505021    148442    28
109.3    496612    142213    17
109.4    490767    139953    24
109.5    488593    135886    16
109.6    485624    135943    25
109.7    483468    132734    22
109.8    483516    133157    18
109.9    483254    133471    27
110.0    489058    135788    21
