# 1560 SPDC measurement 
# Temperature scan between 70 and 70 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 2,91 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 2,91 mW)# Periodic polling: 19,45 um
# Initial setup alignment at 100.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
70.0    514586    134243    22
70.1    513096    135086    22
70.2    512004    135314    22
70.3    511713    134961    32
70.4    511589    136199    25
70.5    513305    135952    21
70.6    511793    134969    28
70.7    510624    136775    23
70.8    510289    135554    18
70.9    510789    134888    16
71.0    507746    134596    20
71.1    511541    133145    24
71.2    509155    131291    14
71.3    507138    132828    26
71.4    505942    132090    26
71.5    505550    131947    25
71.6    506100    132049    20
71.7    506251    132118    22
71.8    507197    132667    29
71.9    506590    132807    20
72.0    507794    133464    16
72.1    506798    132792    23
72.2    508856    131857    18
72.3    508571    131567    21
72.4    509371    134020    22
72.5    509048    134451    26
72.6    509855    134426    26
72.7    506939    135464    21
72.8    505949    135836    24
72.9    507541    136274    15
73.0    506345    134123    17
73.1    505752    135013    27
73.2    506327    133177    25
73.3    507762    130635    18
73.4    506584    131200    25
73.5    503906    131485    14
73.6    502145    131242    27
73.7    501585    131911    31
73.8    502833    132529    21
73.9    503914    131572    18
74.0    504446    132062    25
74.1    506860    132643    33
74.2    506898    133290    21
74.3    508294    134285    16
74.4    506114    135471    22
74.5    507846    134383    23
74.6    511092    134040    28
74.7    509749    135059    14
74.8    510734    135356    30
74.9    511262    134722    22
75.0    508816    135444    25
75.1    507360    135401    15
75.2    508266    134222    21
75.3    506886    133536    25
75.4    504139    132789    23
75.5    503136    132192    18
75.6    504115    130730    25
75.7    504330    129805    25
75.8    502412    129102    23
75.9    502292    128981    18
76.0    504360    129198    22
76.1    502717    130669    16
76.2    505069    132195    21
76.3    504964    132017    21
76.4    504701    133662    18
76.5    506848    133598    21
76.6    507335    134896    25
76.7    508635    135399    23
76.8    508670    134694    20
76.9    510195    133292    24
77.0    508324    133356    21
77.1    508741    134088    23
77.2    505599    133758    16
77.3    506942    131796    26
77.4    505716    133948    27
77.5    503393    132078    31
77.6    501399    132890    25
77.7    501745    132531    20
77.8    503974    132061    10
77.9    502251    131132    25
78.0    504176    130895    23
78.1    505973    130219    22
78.2    507703    130789    21
78.3    505321    133343    20
78.4    505644    133586    17
78.5    510881    136022    15
78.6    509650    136208    20
78.7    512221    137421    28
78.8    509637    137657    33
78.9    511087    139094    26
79.0    510591    137084    18
79.1    510609    136694    21
79.2    511854    136074    20
79.3    510499    136081    25
79.4    506241    134022    26
79.5    506803    134085    24
79.6    505056    133330    30
79.7    503891    131896    12
79.8    502466    132101    18
79.9    501566    132668    25
80.0    502141    130675    21
80.1    504387    131915    19
80.2    503886    132912    22
80.3    503897    133210    24
80.4    505528    136248    29
80.5    506104    134641    25
80.6    505711    136977    23
80.7    506381    138294    25
80.8    513561    138202    30
80.9    511972    138141    23
81.0    511987    136608    29
81.1    511327    138960    19
81.2    510271    138301    28
81.3    508530    138480    22
81.4    507706    136929    31
81.5    507045    137146    29
81.6    504098    136154    10
81.7    506688    134686    24
81.8    502231    135163    23
81.9    502522    135774    23
82.0    503800    134365    25
82.1    502302    134855    19
82.2    501036    136087    25
82.3    503219    137744    32
82.4    504976    139646    22
82.5    508553    139619    27
82.6    509546    140739    13
82.7    510163    143522    18
82.8    511293    143752    19
82.9    512675    144155    19
83.0    513165    144842    32
83.1    513075    146677    20
83.2    515021    145209    23
83.3    512462    144216    33
83.4    512208    141896    24
83.5    513660    141808    28
83.6    506803    140817    20
83.7    505565    139965    16
83.8    506775    137560    13
83.9    504195    137954    14
84.0    501389    137571    25
84.1    500028    137309    21
84.2    504866    140150    16
84.3    506369    139499    25
84.4    507479    141436    17
84.5    510508    143248    25
84.6    514430    144877    25
84.7    515785    146027    29
84.8    516710    147000    21
84.9    520354    149407    28
85.0    519462    150497    19
85.1    520148    150538    43
85.2    520218    150645    14
85.3    518815    149054    28
85.4    517910    148595    22
85.5    513932    148354    35
85.6    512464    146388    25
85.7    509832    145287    23
85.8    508334    144411    25
85.9    508563    144016    27
86.0    506367    142003    23
86.1    506764    142671    19
86.2    504341    142846    30
86.3    508380    143674    22
86.4    511700    145379    22
86.5    512231    147644    20
86.6    514710    148416    23
86.7    518346    151942    37
86.8    525686    153505    35
86.9    528606    156615    35
87.0    527628    157346    25
87.1    532253    158783    32
87.2    532416    159595    37
87.3    529338    158498    32
87.4    529579    156847    23
87.5    525677    154757    21
87.6    523994    153682    25
87.7    520984    150904    30
87.8    518808    150647    26
87.9    513715    148239    25
88.0    512079    147454    34
88.1    512629    147402    33
88.2    512925    149125    29
88.3    511156    148296    24
88.4    518050    151679    35
88.5    522723    153014    22
88.6    520825    155311    26
88.7    528511    159505    27
88.8    535172    163629    20
88.9    536392    165428    29
89.0    540193    166536    30
89.1    544222    167980    38
89.2    549393    170129    36
89.3    550092    170226    38
89.4    546188    169048    21
89.5    544729    167403    35
89.6    538425    166668    29
89.7    536006    163187    31
89.8    532479    161900    26
89.9    532944    160601    30
90.0    530865    159716    24
90.1    532567    161606    26
90.2    531725    163121    32
90.3    535138    165211    29
90.4    544032    171693    25
90.5    553285    174699    25
90.6    557239    178198    35
90.7    570401    187309    32
90.8    582668    195082    52
90.9    592778    202126    49
91.0    600209    205912    29
91.1    602222    209592    40
91.2    603425    210449    37
91.3    599453    210797    49
91.4    600947    208430    40
91.5    596226    205149    28
91.6    593982    204810    48
91.7    588623    199750    45
91.8    586779    200387    41
91.9    583591    198237    47
92.0    583855    199102    42
92.1    588874    202280    34
92.2    592255    205708    50
92.3    614477    217154    52
92.4    629999    227646    43
92.5    648652    245468    59
92.6    670483    255335    52
92.7    675165    263610    46
92.8    708112    285668    72
92.9    726655    298351    76
93.0    737395    303858    80
93.1    757667    319070    77
93.2    770820    329350    83
93.3    776200    333476    97
93.4    781231    336535    84
93.5    780468    338105    93
93.6    784695    342332    113
93.7    795404    347292    96
93.8    803658    352503    101
