# angle,other_angle,1,2,3,4,1/4,1/3,2/4,2/3
0,0,511267,284931,377024,372467,17192,147,75,10016
0,22.5,505828,288299,420020,335375,7293,160,67,4623
0,45,505577,286420,409462,347089,9361,188,86,5108
22.5,0,463297,315712,391336,361063,2807,150,89,1222
22.5,22.5,463943,314639,420658,337286,122,141,89,387
22.5,45,462192,315596,410279,348124,14750,167,91,11793
45,0,471171,313454,378855,368104,10498,135,87,6582
45,22.5,470788,311994,417179,335110,14717,160,75,12335
45,45,468495,312235,406927,343402,990,147,83,524
