# angle,other_angle,1,2,3,4,1/4,1/3,2/4,2/3
0,0,493636,290810,388780,364689,16179,166,102,9196
0,22.5,493603,290320,417641,337170,6100,163,94,3378
0,45,501985,288246,412859,350574,10851,183,89,6669
22.5,0,467128,310266,383680,371728,11049,155,87,6994
22.5,22.5,467216,309421,423768,335208,13350,145,84,11418
22.5,45,467850,310106,410711,349870,1152,171,73,363
45,0,458454,318935,382943,373417,4787,135,104,2423
45,22.5,458734,318804,424335,336791,868,151,76,1738
45,45,458606,319504,413336,352487,13300,160,86,11018
