# angle,other_angle,1,2,3,4,1/4,1/3,2/4,2/3
0,0,571125,342469,440895,414890,20361,605,280,12266
0,22.5,573760,338347,481254,385925,8339,15086,5911,5150
0,45,574143,335780,469693,397794,11865,11303,4455,6741
22.5,0,526806,369942,439552,423248,7815,12375,8692,4411
22.5,22.5,526251,366148,486720,388561,359,21494,11507,806
22.5,45,526183,365026,470241,398867,17823,230,321,14360
45,0,540207,362482,439005,428691,12950,6806,5485,7916
45,22.5,537051,359322,486195,385396,17370,1101,148,14445
45,45,539241,362533,473189,400341,628,21638,11805,272
