# angle,other_angle,1,2,3,4,1/4,1/3,2/4,2/3
0,0,613709,377360,466565,467146,20975,209,150,11930
0,22.5,601228,385958,516790,423911,8225,236,124,5280
0,45,597262,384221,506050,437922,11321,235,131,6525
22.5,0,556953,413543,477271,462290,8900,226,148,5322
22.5,22.5,556917,415218,519027,427869,327,212,150,649
22.5,45,555777,413406,508955,439773,17885,225,135,14587
45,0,564071,410908,479567,456929,12012,248,127,7694
45,22.5,564221,408186,520183,424805,17831,243,125,15068
45,45,565219,408222,508595,439640,556,203,131,277
