# G(2) Function
# 2024-02-27 13:24:51
# Histogram Width = 1 µs
# Events Ch. 0 = 1.691e+06 
# Events Ch. 1 = 2.432e+06 
# Integr. Time = 00:01:16 h
# G(2) Norm = 210.8 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -4.9803922E-07 ;   1.0576320E+00
 -4.9411765E-07 ;   9.7226300E-01
 -4.9019608E-07 ;   9.9597600E-01
 -4.8627451E-07 ;   9.8174800E-01
 -4.8235294E-07 ;   1.0528890E+00
 -4.7843137E-07 ;   1.0481470E+00
 -4.7450980E-07 ;   1.0196900E+00
 -4.7058824E-07 ;   9.5803400E-01
 -4.6666667E-07 ;   9.4380600E-01
 -4.6274510E-07 ;   9.7226300E-01
 -4.5882353E-07 ;   1.0339180E+00
 -4.5490196E-07 ;   1.0766030E+00
 -4.5098039E-07 ;   1.0244330E+00
 -4.4705882E-07 ;   1.0244330E+00
 -4.4313725E-07 ;   1.0955740E+00
 -4.3921569E-07 ;   9.3432100E-01
 -4.3529412E-07 ;   9.5329200E-01
 -4.3137255E-07 ;   1.0718600E+00
 -4.2745098E-07 ;   1.0102050E+00
 -4.2352941E-07 ;   1.0196900E+00
 -4.1960784E-07 ;   9.9123400E-01
 -4.1568627E-07 ;   9.1060700E-01
 -4.1176471E-07 ;   9.6277700E-01
 -4.0784314E-07 ;   9.8174800E-01
 -4.0392157E-07 ;   9.7226300E-01
 -4.0000000E-07 ;   8.9163600E-01
 -3.9607843E-07 ;   8.9163600E-01
 -3.9215686E-07 ;   9.8174800E-01
 -3.8823529E-07 ;   9.8649100E-01
 -3.8431373E-07 ;   9.7226300E-01
 -3.8039216E-07 ;   9.5803400E-01
 -3.7647059E-07 ;   9.9123400E-01
 -3.7254902E-07 ;   1.0149470E+00
 -3.6862745E-07 ;   9.8649100E-01
 -3.6470588E-07 ;   1.0054620E+00
 -3.6078431E-07 ;   9.3432100E-01
 -3.5686275E-07 ;   9.0112100E-01
 -3.5294118E-07 ;   9.8174800E-01
 -3.4901961E-07 ;   9.4380600E-01
 -3.4509804E-07 ;   9.7226300E-01
 -3.4117647E-07 ;   8.9637900E-01
 -3.3725490E-07 ;   8.4895100E-01
 -3.3333333E-07 ;   1.0102050E+00
 -3.2941176E-07 ;   9.7226300E-01
 -3.2549020E-07 ;   9.3906300E-01
 -3.2156863E-07 ;   9.2009200E-01
 -3.1764706E-07 ;   9.9597600E-01
 -3.1372549E-07 ;   1.0386610E+00
 -3.0980392E-07 ;   1.0766030E+00
 -3.0588235E-07 ;   1.0054620E+00
 -3.0196078E-07 ;   9.4854900E-01
 -2.9803922E-07 ;   1.1287730E+00
 -2.9411765E-07 ;   1.0196900E+00
 -2.9019608E-07 ;   1.0054620E+00
 -2.8627451E-07 ;   9.5329200E-01
 -2.8235294E-07 ;   1.0718600E+00
 -2.7843137E-07 ;   9.1535000E-01
 -2.7450980E-07 ;   1.0291760E+00
 -2.7058824E-07 ;   9.1060700E-01
 -2.6666667E-07 ;   9.2009200E-01
 -2.6274510E-07 ;   1.1050590E+00
 -2.5882353E-07 ;   8.8215000E-01
 -2.5490196E-07 ;   1.0007190E+00
 -2.5098039E-07 ;   1.1287730E+00
 -2.4705882E-07 ;   1.0339180E+00
