# 2023-05-17 1310 SFG measurment
# full measurement of the phasematching condition, now for controler 2 and oven 2 
# temperature scan betwen 30 and 90 C 
# now for a different pooling 
# --------------------------------- 
# input laser power: __ mW at 1310 nm (70 mA) 
# pump polarization: H + V # periodic pooling: 6.57 um (same as the first measurement for the first controler# initial setup alignment at 23.0 C# integration time: 60 s 
# single photon detector darkcounts: 150 Hz 
# single photon detector QE: __% 
# single photon detector dead time: __ us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
53.8    370843    16768    2
53.9    332643    16898    2
54.0    311030    17068    3
54.1    297596    16899    3
54.2    270078    16792    0
54.3    258111    17177    2
54.4    251338    16963    2
54.5    234823    17004    2
54.6    229848    16881    0
54.7    227554    16896    1
54.8    221102    17084    2
54.9    221030    16937    1
55.0    220208    17057    1
55.1    222612    16867    1
55.2    224447    16778    3
55.3    227272    16857    1
55.4    235954    17132    1
55.5    240011    16885    2
55.6    243467    17004    2
55.7    256178    17101    1
55.8    260674    16632    0
55.9    264751    17096    0
56.0    277873    16933    0
56.1    282257    17134    1
56.2    286458    16877    1
56.3    296238    16831    2
56.4    300295    16898    3
56.5    306653    17063    2
56.6    310593    16912    1
56.7    312397    17049    0
56.8    313913    16536    3
56.9    313486    16851    1
57.0    314396    16953    5
57.1    314129    17001    0
57.2    311497    16883    2
57.3    306909    16803    0
57.4    303446    16722    2
57.5    301158    16821    2
57.6    290523    16886    2
57.7    286207    16657    6
57.8    281216    16798    1
57.9    266579    16961    1
58.0    260466    16946    4
58.1    253998    16616    1
58.2    238078    16955    1
58.3    231652    17100    0
58.4    224311    16654    2
58.5    207252    17007    1
58.6    199345    16848    1
58.7    191656    17078    0
58.8    173950    16857    1
58.9    167729    16923    0
59.0    151821    16835    1
59.1    143678    16806    0
59.2    137036    16994    0
59.3    122875    16913    1
59.4    115176    16939    0
59.5    110430    16898    1
59.6    97508    16851    0
59.7    91714    16976    3
59.8    87790    16939    0
59.9    78407    16787    0
60.0    74149    16740    0
60.1    71843    16797    0
60.2    65356    17049    0
60.3    63596    16895    1
60.4    62000    16764    0
60.5    58678    16757    0
60.6    58639    16972    0
60.7    58031    16690    0
60.8    57840    16871    0
60.9    58062    16731    0
61.0    58699    16936    0
61.1    61324    16827    0
61.2    62007    17198    0
61.3    63257    16743    0
61.4    66888    16922    0
61.5    67960    17171    0
61.6    69708    16808    0
61.7    74875    16844    0
61.8    76135    17054    0
61.9    80026    16891    0
62.0    82223    16994    0
62.1    84093    16830    0
62.2    87340    16866    1
62.3    88195    16933    0
62.4    90212    16934    1
62.5    92129    16814    2
62.6    92597    16828    0
62.7    93632    17024    1
62.8    94686    17073    2
62.9    94811    16874    1
63.0    95136    16963    1
63.1    94700    17004    1
63.2    93393    17084    1
63.3    93113    16904    0
63.4    90685    17052    0
63.5    89194    16830    1
63.6    88194    17084    0
63.7    84673    17018    0
63.8    82090    17165    0
63.9    81034    16837    0
64.0    75843    16976    1
64.1    73863    16722    0
64.2    72394    16879    0
64.3    66514    16903    1
64.4    64320    17110    0
64.5    59441    16816    1
64.6    57011    17139    0
64.7    54741    16842    0
64.8    49857    16866    0
64.9    47336    16851    2
65.0    46041    16953    0
65.1    42193    17058    0
65.2    40265    17180    1
65.3    39185    16870    0
65.4    35836    16767    0
65.5    33979    17054    0
65.6    33614    16923    0
65.7    31164    16908    0
65.8    30530    17022    0
65.9    30340    16953    0
66.0    29271    16880    0
66.1    28948    17021    0
66.2    28785    17040    1
66.3    28666    17047    0
66.4    29186    17159    0
66.5    29316    17083    1
66.6    30903    16992    0
66.7    31406    16925    0
66.8    31886    16953    0
66.9    34150    17012    0
67.0    34923    17051    0
67.1    36869    17092    0
67.2    37430    16883    1
67.3    38856    16930    1
67.4    40275    17215    0
67.5    41897    16946    1
67.6    42303    16787    1
67.7    44128    16886    0
67.8    44867    17086    0
67.9    45059    17131    0
68.0    46838    16973    0
68.1    46963    16945    0
68.2    47216    16994    0
68.3    48121    16931    0
68.4    48306    17003    1
68.5    48444    16833    0
68.6    48059    16799    2
68.7    47930    16659    0
68.8    47082    16989    0
68.9    46240    17136    0
69.0    45855    16987    0
69.1    45421    16815    0
69.2    44251    17064    0
69.3    42888    16844    1
69.4    42445    16954    1
69.5    39960    16861    0
69.6    39451    17159    0
69.7    38567    16969    0
69.8    36160    16428    1
69.9    35255    17064    0
70.0    32669    16744    0
70.1    31892    16978    0
70.2    30616    16725    0
70.3    28339    16749    0
70.4    27785    16765    0
70.5    26533    16469    0
70.6    24773    16833    0
70.7    23961    16711    0
70.8    23523    16765    0
70.9    22389    16946    1
71.0    21836    16753    1
71.1    21649    16649    2
71.2    21065    16593    0
71.3    20735    16768    0
71.4    20651    17045    0
71.5    20852    16811    0
71.6    20914    16824    0
71.7    20887    16650    1
71.8    21471    17098    0
71.9    21662    16947    0
72.0    21977    16718    0
72.1    22770    16777    0
72.2    23477    16786    0
72.3    23527    16918    0
72.4    25006    16777    1
72.5    25712    16950    0
72.6    26939    16594    1
72.7    27451    16749    0
72.8    27587    16940    0
72.9    29312    16929    0
73.0    29839    16806    1
73.1    30261    16742    0
73.2    31483    16746    0
73.3    31503    16803    1
73.4    31624    16830    0
73.5    32423    16952    0
73.6    32542    17108    0
73.7    32712    16831    1
73.8    32752    16704    0
73.9    32507    16799    0
74.0    32337    16835    0
74.1    32189    16817    0
74.2    31526    16794    0
74.3    31624    16968    0
74.4    30509    16760    0
74.5    30402    16736    0
74.6    30064    16907    0
74.7    28342    17054    0
74.8    28000    16705    0
74.9    27432    16837    0
75.0    25908    16739    1
75.1    25364    16641    0
75.2    24745    16923    1
75.3    23077    16740    0
75.4    22614    16767    0
75.5    21168    16840    0
75.6    20535    17027    1
75.7    19927    16887    0
75.8    18757    16803    0
75.9    18183    16938    0
76.0    17422    16717    0
76.1    16600    16721    0
76.2    16213    16711    0
76.3    16156    16866    0
76.4    15000    16635    0
76.5    14852    17070    0
76.6    14948    16789    0
76.7    14586    16850    0
76.8    14398    16908    0
76.9    14749    16833    1
77.0    14766    16871    0
77.1    15010    16551    0
77.2    15206    16859    0
77.3    15893    16794    0
77.4    16042    16884    0
77.5    16546    16857    0
77.6    17386    16957    0
77.7    17761    16942    0
77.8    17663    16979    0
77.9    18538    16928    0
78.0    18903    16855    0
78.1    19408    16773    1
78.2    20056    16934    0
78.3    20345    16653    0
78.4    21009    16861    0
78.5    21531    16937    0
78.6    21939    16818    0
78.7    22170    16812    0
78.8    22694    16795    0
78.9    23011    16701    1
79.0    23171    16799    0
79.1    23359    16748    1
79.2    23678    16834    0
79.3    23381    16984    0
79.4    23125    16711    1
79.5    23126    16792    0
79.6    22444    16727    0
79.7    22098    16810    0
79.8    22112    17053    0
79.9    21188    16628    0
80.0    21021    16887    0
80.1    20996    16938    0
80.2    19932    16832    0
80.3    19201    16815    0
80.4    19331    16703    0
80.5    18259    16910    0
80.6    18104    16651    0
80.7    17289    16777    0
80.8    17012    17057    1
80.9    16428    16813    1
81.0    15669    16720    0
81.1    15207    16885    0
81.2    14756    16895    0
81.3    14405    16750    0
81.4    14206    16634    0
81.5    14001    16768    0
81.6    13463    16776    0
81.7    13296    17021    0
81.8    13300    16899    0
81.9    13164    16872    0
82.0    13262    16875    0
82.1    13182    16590    0
82.2    13286    17081    0
82.3    13142    16742    0
82.4    13403    16693    0
82.5    13674    16889    0
82.6    14085    16960    0
82.7    13973    16721    0
82.8    14544    16883    0
82.9    14835    16853    0
83.0    15065    16723    0
83.1    15865    16891    0
83.2    16267    16930    0
83.3    16233    16879    1
83.4    17200    16891    0
83.5    17308    17100    0
83.6    17910    17001    0
83.7    18064    16725    0
83.8    18469    16831    0
83.9    18594    17191    0
84.0    18862    16700    0
84.1    18581    16693    0
84.2    19226    16883    0
84.3    19176    17048    0
84.4    19116    16928    0
84.5    19054    16863    0
84.6    19216    16833    0
84.7    19056    16897    0
84.8    18842    16683    0
84.9    18619    16900    0
85.0    18486    16737    0
85.1    18092    16995    0
85.2    17900    16862    0
85.3    17820    16974    0
85.4    17071    16615    0
85.5    16992    16882    0
85.6    16926    17020    0
85.7    15846    16842    0
85.8    15712    17008    0
85.9    15435    16976    0
86.0    14733    16741    0
86.1    14649    16559    0
86.2    14053    16697    0
86.3    13905    16899    0
86.4    13442    17081    0
86.5    13296    16783    0
86.6    12897    16842    1
86.7    12975    16874    0
86.8    12560    16913    0
86.9    12585    16822    0
87.0    12692    16893    0
87.1    12425    16862    0
87.2    12501    16951    0
87.3    12425    16873    1
87.4    12842    16877    0
87.5    12572    16890    0
87.6    12996    16724    0
87.7    13361    16643    0
87.8    13361    16782    0
87.9    13594    16929    0
88.0    13981    16831    0
88.1    14308    17174    0
88.2    14515    16580    1
88.3    14797    17178    0
88.4    14957    16571    1
88.5    15234    17028    0
88.6    15934    16917    0
88.7    15612    16533    0
88.8    16463    16718    0
88.9    16601    16862    0
89.0    16841    16946    0
89.1    16936    16810    0
89.2    16867    16830    0
89.3    16990    16836    0
