# 2023-09-23 1560 SPDC measurment 
# Temperature scan betwen 22 and 80 C 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) and C22 (1559.79 nm), bandwidth of 100 GHz# Each single-photon detector is connected to one channel: C21 and C22# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: H (uW) (+ V = 20 uW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
45.2    599222    1004706    205
45.3    587988    964039    197
45.4    578610    931272    184
45.5    567700    897224    182
45.6    556113    864489    160
45.7    544132    837912    161
45.8    531547    812141    161
45.9    519182    792164    150
46.0    506788    775067    150
46.1    485098    748103    118
46.2    473159    734329    113
46.3    459635    714082    122
46.4    445506    698941    107
46.5    436040    684059    108
46.6    427577    674725    92
46.7    415535    660135    95
46.8    406278    649949    95
46.9    400401    640603    89
47.0    391829    635509    75
47.1    378940    623526    93
47.2    368910    615227    91
47.3    360294    608228    76
47.4    354661    599104    72
47.5    347300    591572    92
47.6    342853    580461    72
47.7    335808    568511    49
47.8    332931    559986    63
47.9    328159    545218    63
48.0    322305    534125    64
48.1    320429    525430    50
48.2    317376    520521    59
48.3    310958    512517    31
48.4    306672    506600    53
48.5    303161    500320    49
48.6    298534    491355    44
48.7    296799    488759    46
48.8    293658    482270    55
48.9    290847    472221    42
49.0    289200    466556    47
49.1    291452    459705    44
49.2    287149    452691    47
49.3    288129    447657    51
49.4    286816    444029    44
49.5    286710    442748    38
49.6    285396    439330    43
49.7    282443    440255    39
49.8    282286    431078    38
49.9    283899    425864    33
50.0    284694    422174    35
50.1    284845    419176    30
50.2    285013    414138    21
50.3    284708    409585    48
50.4    282869    409309    37
50.5    280825    405141    44
50.6    280985    403912    56
50.7    277586    404828    47
50.8    277957    404333    34
50.9    274962    402006    38
51.0    270468    397575    40
51.1    271280    396529    38
51.2    269072    392764    33
51.3    269125    391345    38
51.4    266932    392302    24
51.5    266335    390705    35
51.6    264436    389201    42
51.7    262395    388237    34
51.8    259517    387671    32
51.9    262566    386966    52
52.0    256293    388375    26
52.1    253999    388629    42
52.2    248775    387917    34
52.3    247134    385740    23
52.4    245748    386056    29
52.5    245832    383495    31
52.6    243528    381248    30
52.7    241618    383053    29
52.8    241628    381342    45
52.9    244452    381474    30
53.0    241220    380102    36
53.1    240562    379832    28
53.2    238595    379636    38
53.3    239526    380260    28
53.4    239228    380815    38
53.5    236302    377653    25
53.6    236668    374728    24
53.7    236606    372287    22
53.8    236967    369222    30
53.9    238828    368101    28
54.0    238017    368022    39
54.1    238685    364802    21
54.2    239095    362937    31
54.3    238315    362310    29
54.4    238344    360635    35
54.5    241721    360866    31
54.6    241577    360042    24
54.7    243439    358623    29
54.8    243686    358063    26
54.9    244599    353456    29
55.0    244873    351829    23
55.1    244486    352658    32
55.2    242812    350876    29
55.3    243995    350966    36
55.4    243367    350846    36
