# 2024-09-22 1560 SPDC measurment 
# Temperature scan betwen 22 and 80 C 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) and C22 (1559.79 nm), bandwidth of 100 GHz# Each single-photon detector is connected to one channel: C21 and C22# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: H (uW) (+ V = 20 uW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
44.4    741907    1410118    353
44.5    718281    1353200    352
44.6    696396    1304651    320
44.7    678135    1257338    281
44.8    661936    1213937    270
44.9    638196    1151345    235
45.0    625396    1107335    271
45.1    612087    1065008    217
45.2    596972    1022763    211
45.3    584934    985864    211
45.4    574881    946567    185
45.5    563836    914503    171
45.6    555625    883823    153
45.7    549058    863125    152
45.8    533513    829645    127
45.9    522198    808533    156
46.0    502444    778061    140
46.1    488693    755621    119
46.2    475534    738140    120
46.3    463794    722808    112
46.4    450310    704382    117
46.5    439155    689967    91
46.6    431558    675597    94
46.7    418052    663312    89
46.8    407747    650055    92
46.9    401050    638070    86
47.0    392043    628375    91
47.1    382268    622866    90
47.2    372550    610611    76
47.3    362719    603071    68
47.4    355390    592715    74
47.5    346807    585566    60
47.6    341586    574540    72
47.7    334512    564727    67
47.8    332255    553363    59
47.9    327260    543532    63
48.0    323304    534006    63
48.1    320565    525456    65
48.2    315390    514913    59
48.3    310538    510154    69
48.4    305240    502978    45
48.5    301390    494936    62
48.6    298272    492170    44
48.7    293242    484514    56
48.8    292701    479048    46
48.9    291225    473298    48
49.0    289028    468523    49
49.1    288298    456589    45
49.2    285583    451843    47
49.3    285692    444982    40
49.4    285334    441710    47
49.5    282702    439165    41
49.6    283106    436602    36
49.7    283158    434334    55
49.8    280786    429100    43
49.9    280389    426308    45
50.0    280506    421017    48
50.1    281820    417297    46
50.2    281601    416030    31
50.3    279896    411281    40
50.4    280390    407421    40
50.5    277704    403256    49
50.6    277753    402143    43
50.7    275176    398970    23
50.8    275399    399032    32
50.9    272277    399582    37
51.0    270068    399174    37
51.1    268634    394152    31
51.2    269348    394071    38
51.3    267326    390404    38
51.4    266225    390453    31
51.5    266270    389774    36
51.6    264424    389078    30
51.7    261002    385934    34
51.8    260459    385779    39
51.9    257564    386253    35
52.0    256597    384380    37
52.1    253365    387675    31
52.2    251545    387236    34
52.3    251107    386007    34
52.4    249902    384937    32
52.5    247698    380798    40
52.6    246150    381533    33
52.7    246249    380275    33
52.8    244540    381394    31
52.9    245036    381079    32
53.0    242839    376394    37
53.1    238070    378556    27
53.2    236958    377381    28
53.3    235821    378283    32
53.4    235105    378739    26
53.5    233571    377061    34
53.6    234845    376137    29
53.7    234952    372736    23
53.8    236852    370516    24
53.9    234619    367928    33
54.0    235493    366326    34
54.1    236884    364997    16
54.2    237307    363718    41
54.3    238761    365494    25
54.4    236831    361258    31
54.5    238163    358314    26
54.6    239884    361201    31
54.7    239799    359694    43
54.8    240326    356396    31
54.9    242120    356375    29
55.0    242537    352236    29
55.1    240076    350611    41
55.2    242384    349500    28
55.3    241089    350544    23
55.4    240990    350665    34
55.5    239928    351381    27
55.6    238759    349443    24
55.7    237401    347704    33
55.8    237241    347967    31
55.9    237237    348168    31
56.0    235878    348888    31
56.1    236144    352968    28
56.2    235580    353448    40
56.3    233593    353464    28
56.4    232374    350414    43
56.5    232762    351811    21
56.6    232757    352510    31
56.7    229214    354411    34
56.8    231769    353364    31
56.9    228394    352482    36
57.0    226429    353016    26
57.1    227919    352338    30
57.2    227274    352184    22
57.3    228151    351558    24
57.4    226505    350593    25
57.5    223944    351441    24
57.6    222954    350758    18
57.7    222383    350340    31
57.8    219955    349627    19
57.9    219423    351463    32
58.0    218514    350352    23
58.1    217994    349207    21
58.2    220254    347435    21
58.3    218298    346788    26
58.4    218496    343723    27
58.5    219592    343881    32
58.6    219272    342056    22
58.7    220607    339873    38
58.8    220291    339180    32
58.9    220356    337221    26
59.0    220351    336177    28
59.1    221104    335989    25
59.2    221154    337654    26
59.3    220786    334890    33
59.4    221750    335102    26
59.5    221798    334427    22
59.6    220988    331911    21
59.7    221471    332940    24
59.8    221459    333469    35
59.9    221079    333816    19
60.0    221296    333941    28
60.1    221876    334751    21
60.2    219406    332686    24
60.3    219038    332983    22
60.4    222163    335034    24
60.5    222691    334408    10
60.6    222289    333160    23
60.7    222232    332843    26
60.8    222079    331111    27
60.9    221650    333094    26
61.0    222419    329522    28
61.1    220501    332765    29
61.2    221388    334896    34
61.3    221815    337981    20
61.4    220152    333924    36
61.5    221598    334998    14
61.6    221492    336192    19
61.7    220220    333922    22
61.8    221000    335164    22
61.9    219355    334533    27
62.0    219473    336574    28
62.1    219024    334487    12
62.2    219535    332899    30
62.3    220343    332252    30
62.4    217528    334024    20
62.5    216328    332899    31
62.6    218504    333390    31
62.7    217207    334677    24
62.8    215619    333110    20
62.9    215718    332094    21
63.0    217690    332244    22
63.1    218785    331379    34
63.2    219894    330756    16
63.3    219262    330625    21
63.4    219069    327857    19
63.5    219970    329116    29
63.6    218210    326955    32
63.7    217578    329038    13
63.8    219420    330201    26
63.9    218790    330345    26
64.0    217157    327273    17
64.1    216322    326496    14
64.2    217778    326879    27
64.3    216269    327488    20
64.4    216423    329596    26
64.5    218402    328980    23
64.6    215179    327502    19
64.7    214226    327449    23
64.8    214637    328109    27
64.9    215172    328764    27
65.0    215281    329042    30
65.1    214282    328616    26
65.2    214406    329566    22
65.3    211848    326844    19
65.4    213102    326653    22
65.5    212229    326515    21
65.6    214126    324991    26
65.7    214948    326583    26
65.8    215237    329478    25
65.9    213176    327862    29
66.0    212322    327355    31
66.1    213655    323976    24
66.2    215054    325351    31
66.3    213644    324878    20
66.4    214608    323616    28
66.5    213698    323205    18
66.6    214346    321334    24
66.7    214394    321589    25
66.8    214353    322003    22
66.9    214921    322245    26
67.0    215189    320229    32
67.1    214096    321607    26
67.2    214626    319410    36
67.3    213648    317822    25
67.4    213655    318320    19
67.5    213175    318552    19
67.6    212694    320757    27
67.7    214697    321790    31
67.8    212195    318103    21
67.9    212387    317987    36
68.0    210742    317997    19
68.1    211429    320661    29
68.2    210739    320574    22
68.3    209893    323958    20
68.4    209903    321973    33
68.5    207074    318685    25
68.6    207723    320415    22
68.7    208809    322231    23
68.8    208263    324800    22
68.9    207612    322751    18
69.0    207051    322491    32
69.1    205572    322847    17
69.2    205180    320495    17
69.3    204169    322503    18
69.4    205275    321329    28
69.5    207576    322974    16
69.6    206349    322244    28
69.7    205399    322417    15
69.8    206683    318609    25
69.9    205791    318354    19
70.0    208541    320262    22
70.1    209965    318506    22
70.2    208900    319391    22
70.3    211851    318598    25
70.4    210142    316280    18
70.5    210972    315751    25
70.6    212492    316483    25
70.7    212986    318363    23
70.8    212643    317726    27
70.9    211472    315865    20
71.0    212179    314637    17
71.1    210736    316016    28
71.2    212716    315241    22
71.3    213077    317291    22
71.4    211153    317043    33
71.5    211885    318492    19
71.6    210672    316430    24
71.7    210657    315675    20
71.8    209635    317012    25
71.9    210239    317956    27
72.0    210215    319476    17
72.1    211475    318778    29
72.2    209437    320592    17
72.3    211547    317526    20
72.4    209891    318392    24
72.5    211724    318449    37
72.6    209314    318036    16
72.7    209978    320787    21
72.8    209539    317488    16
72.9    208592    318338    23
73.0    210206    314485    25
73.1    209423    316567    26
73.2    210405    318177    21
73.3    208541    317668    26
73.4    208636    315032    18
73.5    206522    315692    29
73.6    206689    316092    23
73.7    206806    315059    20
73.8    204956    316650    25
73.9    207051    316999    13
74.0    205690    316490    19
74.1    204149    314624    14
74.2    206487    315519    27
74.3    204607    316375    23
74.4    206491    313987    26
74.5    207356    313887    15
74.6    204639    316842    26
74.7    204708    315777    23
74.8    203932    315141    18
74.9    203347    313138    30
75.0    203310    315417    19
75.1    202064    317546    30
75.2    201759    317054    27
75.3    201641    315363    14
75.4    201432    313020    22
75.5    201692    314850    20
75.6    200783    316569    26
75.7    201439    317270    19
75.8    200963    315996    14
75.9    203525    314347    19
76.0    201951    313315    29
76.1    201545    312836    21
76.2    203216    314098    19
76.3    204978    313468    23
76.4    204454    312944    30
76.5    202336    312071    19
76.6    205420    311650    19
76.7    203302    310155    28
76.8    205465    309667    26
76.9    204734    310666    21
77.0    205333    311481    21
77.1    206071    309138    22
77.2    205874    309083    20
77.3    204901    308688    25
77.4    205357    307413    26
77.5    205098    310762    13
77.6    206697    311961    16
77.7    205203    311751    15
77.8    204315    310408    24
77.9    204571    309139    26
78.0    203906    308303    34
78.1    203654    309416    26
78.2    204253    312084    20
78.3    203176    312891    22
78.4    202778    312019    17
78.5    202519    311270    19
78.6    201789    310885    20
78.7    204815    312900    13
78.8    202572    312782    25
78.9    202631    313223    22
79.0    201650    312956    29
79.1    201791    312673    20
79.2    203001    311358    20
79.3    203037    312847    22
79.4    202043    311105    19
79.5    202689    312882    16
79.6    202416    312986    26
79.7    201915    311293    19
79.8    205159    308864    24
79.9    204521    308716    24
80.0    206074    311274    20
