0,2.499
2,2.239
4,1.951
6,1.807
8,1.525
10,1.369
12,1.154
14,0.866
16,0.680
18,0.497
20,0.356
22,0.2331
24,0.1385
26,0.0715
28,0.0333
29,0.0258
30,0.0297
32,0.0600
34,0.1182
36,0.2249
38,0.368
40,0.509
42,0.637
44,0.846
46,1.065
48,1.296
50,1.543
52,1.767
54,2.026
56,2.235
58,2.448
60,2.681
62,2.824
64,3.007
66,3.153
68,3.248
70,3.31
72,3.38
74,3.4
76,3.39
78,3.34
80,3.25
82,3.15
84,2.995
86,2.863
88,2.677
90,2.467
92,2.222
94,2.033
96,1.812
98,1.504
100,1.356
102,1.074
104,0.851
106,0.670
108,0.530
110,0.357
112,0.2364
114,0.1327
116,0.0625
118,0.0305
119,0.0257
120,0.0275
122,0.0521
124,0.1307
126,0.2333
128,0.346
130,0.492
132,0.677
134,0.857
136,1.047
138,1.288
140,1.508
142,1.777
144,2.022
146,2.241
148,2.425
150,2.633
152,2.866
154,3.006
156,3.152
158,3.265
160,3.34
162,3.40
164,3.41
166,3.4
168,3.34
170,3.270
172,3.171
174,3.036
176,2.894
178,2.699
180,2.512
182,2.299
184,2.002
186,1.765
188,1.536
190,1.284
192,1.039
194,0.873
196,0.632
198,0.509
200,0.357
202,0.228
204,0.2132
206,0.0806
208,0.0324
210,0.0309
212,0.0532
214,0.1266
216,0.2156
218,0.333
220,0.479
222,0.637
224,0.847
226,1.014
228,1.291
230,1.5268
232,1.741
234,1.990
236,2.214
238,2.449
240,2.658
242,2.851
244,3.017
246,3.144
248,3.260
250,3.34
252,3.4
254,3.42
256,3.41
258,3.37
260,3.300
262,3.196
264,3.035
266,2.892
268,2.722
270,2.512
272,2.310
274,2.042
276,1.839
278,1.582
280,1.329
282,1.138
284,0.896
286,0.725
288,0.528
290,0.360
292,0.239
294,0.144
296,0.040
298,0.0394
300,0.0414
302,0.0723
304,0.1287
306,0.2276
308,0.343
310,0.520
312,0.707
314,0.888
316,1.128
318,1.304
320,1.539
322,1.812
324,2.002
326,2.279
328,2.460
330,2.700
332,2.891
334,3.059
336,3.202
338,3.3
340,3.38
342,3.44
344,3.45
346,3.43
348,3.37
350,3.297
352,3.202
354,3.060
356,2.882
358,2.700
360,2.478
